obstacleDetectDistance,carLinearSpeed,carTurningSpeed,servoRange,finishTime
0.34026,253,128,33,41.33594
0.4527405,123,164,65,17.00781
0.8682206,109,156,36,361.6641
0.7298762,235,205,46,333.8438
0.5270754,228,163,51,84.42188
0.8023651,245,123,65,59.46875
0.6801439,108,172,57,68.15625
0.2857496,176,190,53,131.0078
0.8572478,143,122,77,22.3125
0.675657,200,179,69,76.45313
0.3455665,197,127,52,20.61719
0.731209,168,165,32,47.5
0.3725665,190,133,83,356.3203
0.7504753,160,108,57,12.73438
0.2012548,197,158,37,193.4375
0.52952,188,114,63,237.7656
0.7372618,124,204,41,362.6563
0.7391624,247,213,46,18.17188
0.5266271,191,204,85,109.2109
0.374992,117,159,74,83.95313
0.6071258,225,185,51,170.0859
0.8966845,225,130,53,79.70313
0.3264416,240,102,86,65.69531
0.1993579,231,164,71,155.6094
0.5917955,238,103,63,29.53125
0.3097634,218,112,64,11.83594
0.1438164,138,178,51,18.42188
0.3549674,170,107,85,34.53906
0.9547852,159,177,68,58.02344
0.5283509,112,115,75,346.5078
0.1445226,197,163,69,15.91406
0.7308014,157,107,44,17.10156
0.5252706,170,192,44,570.4375
0.9832,139,120,78,47.92969
0.494551,176,174,60,37.74219
0.2286666,225,143,59,54.6875
0.7486305,189,120,85,129.0234
0.721791,109,111,51,303.0313
0.239978,116,231,77,180.5625
0.6934958,159,116,47,22.9375
0.7693647,179,149,81,322.0234
0.2274614,188,225,53,32.14844
0.4781785,198,202,67,132.7891
0.1522278,110,241,34,65.46094
0.1908757,224,167,47,75.25
0.2023537,189,216,49,56.82813
0.2133938,231,151,51,457.6719
0.2448076,214,176,80,27.03906
0.2069155,199,172,54,86.9375
0.8894041,165,166,47,98.23438
0.4170703,189,100,52,17.42188
0.2028463,207,152,78,49.1875
0.817746,186,226,64,30.92969
0.2621365,159,233,88,12.77344
0.3067282,222,150,47,20.67969
0.5509259,179,113,43,11.53125
0.3594051,222,103,56,9.109375
0.1608779,155,161,60,75.32031
0.4223071,143,197,51,384.8984
0.7952459,163,164,65,97.07813
0.4231699,226,115,32,12.38281
0.4977985,116,174,41,74.99219
0.7245814,169,142,32,84.03906
0.7212788,193,205,84,787.2344
0.8070468,247,150,76,140.9531
0.305667,195,132,31,47.54688
0.2382117,190,153,41,11.36719
0.6328357,135,191,68,145.1797
0.4088133,198,108,35,15.25781
0.647292,245,132,87,76.51563
0.6069371,144,155,76,29.53906
0.6431496,223,223,37,15.125
0.8234901,228,102,88,10.4375
0.8752071,136,135,35,56.17188
0.3487,118,148,31,55.96875
0.5868424,102,163,62,279.4609
0.9017229,191,190,85,77.61719
0.1818619,221,111,54,12.49219
0.2352747,141,106,77,14.46094
0.2102512,121,201,87,83.90625
0.764457,216,121,85,21.30469
0.8144215,211,139,58,45.76563
0.34463,124,136,42,43.67969
0.2679279,250,196,48,414.7188
0.764968,189,191,74,69.875
0.6191484,114,179,73,44.96875
0.41757,249,172,72,15.14063
0.2362869,156,108,66,36.39063
0.1998602,195,137,46,88.3125
0.5454521,144,159,56,22.21875
0.7933471,227,149,35,144.6875
0.3352439,200,127,34,287.9063
0.354208,219,109,61,38.64063
0.5470738,103,172,48,111.2188
0.5299393,171,188,52,145.8438
0.9602913,161,111,56,48.60938
0.2702293,132,238,67,45.625
0.3581684,252,194,31,262.4688
0.717539,231,180,35,68.96875
0.6926135,136,133,59,14.89063
0.9698394,173,193,42,256.8906
0.2470371,161,119,78,100.1719
0.4169106,122,203,83,553.125
0.9045237,117,115,80,229.4375
0.8109673,131,207,42,309.9688
0.9322084,156,115,79,409.1875
0.1567423,115,100,51,84.04688
0.3865685,180,160,39,232.9375
0.2389837,114,213,81,98.875
0.3456383,130,169,72,112.8906
0.6318638,163,115,70,83.46875
0.2750286,110,121,67,27.3125
0.2565852,112,179,44,36.10938
0.4112905,245,185,45,21.32813
0.6112338,100,183,85,492.7969
0.8533362,172,131,50,85.15625
0.8311836,159,151,30,242.4844
0.134754,185,208,31,38
0.6292857,145,103,43,93.25
0.2161699,216,168,52,20.5625
0.236452,225,106,61,38.42188
0.792052,227,199,49,24.35938
0.4875601,166,153,42,634.5938
0.2359643,238,220,85,20.32813
0.2516917,104,151,75,130.7031
0.8735833,184,202,84,163.2969
0.5571221,121,101,85,45.40625
0.3848115,201,102,54,83.07813
0.5112372,245,190,53,88.25
0.4804021,106,193,78,54.64063
0.1663642,165,182,38,37.625
0.5707269,191,131,88,49.75
0.3198867,209,188,89,146.5938
0.8140869,191,163,33,225.0625
0.1756155,121,145,67,563.1563
0.3769672,240,144,68,9.78125
0.20744,196,126,43,133.4531
0.8208561,129,192,44,171.7813
0.2219106,125,154,50,144.0156
0.4239977,162,119,69,18.26563
0.4562643,217,161,60,21.75
0.4496408,160,119,80,84.875
0.8891592,159,194,64,111.75
0.251824,118,109,72,24.14063
0.2391211,231,250,41,22.04688
0.3878322,103,101,83,458
0.8343787,157,120,85,108.5313
0.9642893,188,218,82,52.17188
0.2407301,158,126,78,15.125
0.2507666,243,199,42,347.1406
0.5257591,157,108,81,32.09375
0.5245991,204,158,65,15.9375
0.7880223,152,205,55,141.3594
0.8581051,113,156,77,185.9688
0.4885131,178,237,69,32.67188
0.3556223,201,227,32,24.65625
0.8937912,120,142,45,531.1875
0.8011987,173,101,48,20.01563
0.4384147,134,143,51,60.96875
0.5796196,181,138,70,338.9688
0.6731546,209,134,86,9.609375
0.9979496,222,187,32,392.5781
0.8182148,218,106,55,21.57813
0.1340575,247,146,59,18.20313
0.1489075,237,134,53,9.109375
0.3576087,186,118,32,13.70313
0.5048034,188,142,62,23.79688
0.3521059,125,169,75,291.1563
0.5562527,240,147,57,61.84375
0.3682472,216,236,82,75.53125
0.7508126,196,111,79,12.65625
0.6244802,100,154,67,50.79688
0.6948571,248,148,86,42.3125
0.4980159,160,125,69,50.70313
0.1589788,199,218,76,73.84375
0.3682067,175,197,42,51.92188
0.5577248,240,141,62,42.82813
0.9015303,154,102,46,65.35938
0.4265493,158,226,76,27.17188
0.5676559,113,232,65,83.07813
0.143303,167,169,36,54.15625
0.6847699,115,153,82,42.09375
0.1884455,109,156,30,46.3125
0.7867881,112,139,72,33.14063
0.8688368,162,142,44,31.54688
0.731221,107,169,54,237.4219
0.7411422,116,162,54,238.6406
0.4567042,118,121,56,145.625
0.8566337,167,226,44,87.75
0.7883005,239,177,54,49.84375
0.1790598,247,199,69,42.28125
0.4850903,214,102,58,21.09375
0.1944108,239,135,86,364.1719
0.4010986,230,134,53,82.3125
0.9223348,126,108,76,43.45313
0.2031817,103,175,32,237.4531
0.2608814,156,251,72,40.375
0.8490221,212,128,76,112.5
0.7915027,211,205,51,272.4219
0.9701333,243,106,79,114.1406
0.4027762,108,119,60,23.39063
0.6443259,243,161,69,46.54688
0.658183,211,126,78,29.28125
0.9292075,185,100,84,35.32813
0.4972315,219,145,32,19.09375
